Recipe_title,url,Carbohydrates,Energy,Protein,Fats,vegan,pescetarian,lacto_vegetarian,non_vegetarian,Region
Pizzaghetti,http://allrecipes.com/recipe/52160/pizzaghetti/,61.7339,734.8188,30.7535,40.5284,0,0,0,1,Italian
Asian Chicken Noodle Soup,http://allrecipes.com/recipe/26356/asian-chicken-noodle-soup/,108.7826,673.9169,27.5998,13.4174,0,0,0,1,Chinese and Mongolian
Hot Cross Buns I,http://allrecipes.com/recipe/7073/hot-cross-buns-i/,81.0313,723.3457,26.7264,35.3383,0,0,0,1,Australian
Angie's Polenta Lasagna,http://allrecipes.com/recipe/218035/angies-polenta-lasagna/,0,898.114,88.0877,57.7424,0,0,0,1,Italian
Sakhon’s Noodles,http://www.geniuskitchen.com/recipe/sakhon-s-noodles-182599,119.0569,874.1195,62.1734,21.113,0,0,0,1,Southeast Asian
Barrier Reef,http://www.geniuskitchen.com/recipe/barrier-reef-142258,0,756.5,168.3,4.25,0,0,0,1,Australian
African Peanut and Squash Stew,http://www.geniuskitchen.com/recipe/african-peanut-and-squash-stew-85912,52.4946,698.3038,22.447,50.0266,0,0,0,1,Rest Africa
Brinjal (Eggplant) in Coconut Milk,http://allrecipes.com/recipe/247103/brinjal-eggplant-in-coconut-milk/,17.4934,698.6955,6.8439,72.5532,0,0,0,1,Indian Subcontinent
Potatoes Rellenos Chip Dip #5FIX,http://www.geniuskitchen.com/recipe/potatoes-rellenos-chip-dip-5fix-496715,9.8874,881.54,55.0112,68.8704,0,0,0,1,Mexican
Blue Cornbread Madeleines,http://www.geniuskitchen.com/recipe/blue-cornbread-madeleines-483063,49.0428,859.2515,37.6363,61.2102,0,0,0,1,Mexican
Mushroom Tikka Masala,http://www.geniuskitchen.com/recipe/mushroom-tikka-masala-498345,35.6818,716.0118,58.0111,39.9519,0,0,0,1,Indian Subcontinent
Peanut Butter Noodles,http://allrecipes.com/recipe/11835/peanut-butter-noodles/,25.1459,781.3108,76.2306,44.857,0,0,0,1,Thai
Lamb & Goat Cheese Pizza,http://www.geniuskitchen.com/recipe/lamb-goat-cheese-pizza-315699,16.0945,790.396,39.4003,62.8196,0,0,0,1,Greek
Chopped Moroccan Salad,http://www.geniuskitchen.com/recipe/chopped-moroccan-salad-511644,104.659,674.5896,24.6625,21.3786,0,0,0,1,Northern Africa
St. Patricks Noodles With Spinach,http://www.geniuskitchen.com/recipe/st-patricks-noodles-with-spinach-359462,44.451,649.88,22.061,46.448,0,0,0,1,Irish
Fondue Suisse,http://www.geniuskitchen.com/recipe/fondue-suisse-451597,12.4158,633.6025,46.8319,43.7679,0,0,0,1,Deutschland
Strawberry Soda Whizz,http://www.geniuskitchen.com/recipe/strawberry-soda-whizz-332354,176.6129,700.0173,6.004,2.6856,1,1,0,0,Australian
Pesto Chicken Salad With Red Grapes,http://www.geniuskitchen.com/recipe/pesto-chicken-salad-with-red-grapes-177890,49.2931,671.4647,42.7158,35.8688,0,0,0,1,Italian
Sizzling Green Beans,http://www.geniuskitchen.com/recipe/sizzling-green-beans-136591,35.0117,633.5141,9.0982,55.1554,0,0,1,0,Italian
Ginger Peach Freeze,http://www.geniuskitchen.com/recipe/ginger-peach-freeze-180566,204.8416,816.445,0.1692,0.1136,0,0,0,1,Australian
Cheeseburger Quesadillas,http://allrecipes.com/recipe/246760/cheeseburger-quesadillas/,29.0171,678.8869,50.4735,40.4995,0,0,0,1,Mexican
Litchi Fish,http://www.geniuskitchen.com/recipe/litchi-fish-80430,47.5681,795.9434,137.2303,4.7134,0,0,0,1,Rest Africa
Eggplant Lasagna,http://www.geniuskitchen.com/recipe/eggplant-lasagna-247221,8.72,891.6733,65.44,65.1433,0,0,0,1,Italian
Irish Colcannon and Thyme Leaf Soup,http://www.geniuskitchen.com/recipe/irish-colcannon-and-thyme-leaf-soup-214543,63.3664,623.4465,51.8377,23.0199,0,0,0,1,Irish
Orange Chicken For Two,http://www.geniuskitchen.com/recipe/orange-chicken-for-two-26598,55.6094,696.8562,2.2228,54.9471,0,0,0,1,Caribbean
Ginger Salmon,http://allrecipes.com/recipe/36994/ginger-salmon/,2.5783,735.3548,90.2648,37.894,0,1,0,0,US
Canned the Summer in a  Salsa !,http://www.geniuskitchen.com/recipe/canned-the-summer-in-a-salsa-253850,144.3722,693.7386,30.4982,5.7642,1,1,0,0,Mexican
Baileys Irish Creme,http://www.geniuskitchen.com/recipe/baileys-irish-creme-78362,19.934,827.5862,8.2399,85.7811,0,0,1,0,Irish
Plantain Chips With Mango Salsa,http://www.geniuskitchen.com/recipe/plantain-chips-with-mango-salsa-440372,175.3093,684.3812,9.7539,2.8508,1,1,0,0,Caribbean
Cha Cha Burgers,http://www.geniuskitchen.com/recipe/cha-cha-burgers-69646,6.8231,648.3752,106.908,22.0491,0,0,0,1,Mexican
Sailor's Stew,http://www.geniuskitchen.com/recipe/sailors-stew-164286,31.3071,887.0894,138.7076,20.2352,0,0,0,1,Belgian
Hi-Hi Sandwiches,http://www.geniuskitchen.com/recipe/hi-hi-sandwiches-370067,0,889.4927,197.8871,4.9971,0,0,0,1,Australian
Creamy Lemon Parmesan Rice,http://www.geniuskitchen.com/recipe/creamy-lemon-parmesan-rice-151951,71.1762,831.9866,49.2005,42.7924,0,0,0,1,Chinese and Mongolian
Roode Kool  - Red Cabbage,http://www.geniuskitchen.com/recipe/roode-kool-red-cabbage-236441,110.5824,678.298,25.9907,23.5744,0,0,1,0,Belgian
Teriyaki Beef and Noodles,http://www.geniuskitchen.com/recipe/teriyaki-beef-and-noodles-47313,86.3972,666.6981,21.2563,28.7572,0,0,0,1,South American
Copycat Olive Garden Zuppa Tuscana,http://www.geniuskitchen.com/recipe/copycat-olive-garden-zuppa-tuscana-437610,4.459,874.3176,95.1258,51.1343,0,0,0,1,Italian
5 Minute Thai Shrimp Satay,http://www.geniuskitchen.com/recipe/5-minute-thai-shrimp-satay-137241,18.8267,710.2524,78.5199,36.8812,0,0,0,1,Thai
Deli Pasta Salad,http://www.geniuskitchen.com/recipe/deli-pasta-salad-395801,25.8129,626.3109,64.4161,29.3171,0,0,0,1,Italian
Kung Pao Shrimp with Cashews,http://www.geniuskitchen.com/recipe/kung-pao-shrimp-with-cashews-34760,41.5314,847.0566,93.4031,32.106,0,0,0,1,Chinese and Mongolian
Mashed Jalapeno-Cilantro Sweet Potatoes,http://allrecipes.com/recipe/169231/mashed-jalapeno-cilantro-sweet-potatoes/,14.7073,682.5412,5.8495,69.05,0,0,1,0,US
Spaghetti Alla Carbonara from Feast Cookbook,http://www.geniuskitchen.com/recipe/spaghetti-alla-carbonara-from-feast-cookbook-186567,20.2209,783.4683,42.1534,59.0056,0,0,0,1,Italian
Middle East Chicken Soup,http://www.geniuskitchen.com/recipe/middle-east-chicken-soup-156669,95.6841,859.6852,77.0171,18.8508,0,0,0,1,Middle Eastern
Austrian Kale,http://www.geniuskitchen.com/recipe/austrian-kale-364370,55.1744,622.086,19.2895,39.5901,0,0,0,1,Deutschland
Walnut-Crusted Beef Tenderloin,http://www.geniuskitchen.com/recipe/walnut-crusted-beef-tenderloin-506169,0.1449,637.397,0.0232,72.041,0,0,0,1,South American
Best Mexican Salsa,http://www.geniuskitchen.com/recipe/best-mexican-salsa-517012,159.3651,662.4954,7.275,1.423,1,1,0,0,Mexican
Mexican-Style Roasted Garlic Soup,http://www.geniuskitchen.com/recipe/mexican-style-roasted-garlic-soup-371030,37.568,763.4349,76.0161,35.0613,0,0,0,1,Mexican
Spinach Noodle Souffle,http://www.geniuskitchen.com/recipe/spinach-noodle-souffle-58372,14.0985,791.6908,53.6205,57.682,0,0,0,1,Irish
Spanish Potato Omelet Bites,http://www.geniuskitchen.com/recipe/spanish-potato-omelet-bites-475362,22.8176,707.5588,43.753,49.8755,0,0,0,1,Spanish and Portuguese
Polish Cabbage Soup,http://www.geniuskitchen.com/recipe/polish-cabbage-soup-106077,158.4166,843.0567,43.4512,9.5683,0,0,0,1,Eastern European
Honey-Orange Baked French Toast,http://www.geniuskitchen.com/recipe/honey-orange-baked-french-toast-379913,29.69,612.3,30.394,43.313,0,0,0,1,French
Potted Cheese,http://www.geniuskitchen.com/recipe/potted-cheese-12211,14.457,809.9953,0.8028,84.898,0,0,1,0,Canadian
Old-Fashioned Beef and Barley Soup,http://www.geniuskitchen.com/recipe/old-fashioned-beef-and-barley-soup-473210,133.573,892.0853,78.4171,6.5427,0,0,0,1,South American
Vietnamese Chicken,http://www.geniuskitchen.com/recipe/vietnamese-chicken-535390,128.7178,763.253,3.445,27.64,0,0,0,1,Southeast Asian
Not Too Saucy Eggplant Parmesan,http://allrecipes.com/recipe/254979/not-too-saucy-eggplant-parmesan/,16.0497,645.4305,23.723,55.2087,0,0,0,1,Italian
Apricot Glazed Carrots,http://allrecipes.com/recipe/88470/apricot-glazed-carrots/,168.8598,893.6437,17.2957,24.2186,0,0,1,0,US
Cabbage Balushka or Cabbage and Noodles,http://allrecipes.com/recipe/220717/cabbage-balushka-or-cabbage-and-noodles/,45.438,744,23.022,57.75,0,0,0,1,Eastern European
Spinach and Feta-Stuffed Focaccia,http://www.geniuskitchen.com/recipe/spinach-and-feta-stuffed-focaccia-304265,63.1996,876.1756,30.9021,59.7778,0,0,0,1,Greek
Authentic Arawak Bar-B-Q Sauce,http://www.geniuskitchen.com/recipe/authentic-arawak-bar-b-q-sauce-374172,76.9331,843.4587,11.7871,57.8492,0,1,0,0,Caribbean
Vietnamese Chicken Salad,http://allrecipes.com/recipe/214225/vietnamese-chicken-salad/,45.7669,664.7015,15.5726,51.7117,0,0,0,1,Southeast Asian
Cuban Sangria,http://www.geniuskitchen.com/recipe/cuban-sangria-106511,163.6848,644.8896,9.4362,2.9475,1,1,0,0,Caribbean
Crock Pot Beef Taco Soup,http://www.geniuskitchen.com/recipe/crock-pot-beef-taco-soup-524152,134.2727,705.242,36.9914,10.1381,0,0,0,1,South American
Quinoa With Thai Dressing,http://www.geniuskitchen.com/recipe/quinoa-with-thai-dressing-413390,31.0603,609.6992,6.4833,54.9521,0,0,0,1,Thai
"Green Rice (Broccoli, Cheese, and Rice Casserole)",http://www.geniuskitchen.com/recipe/green-rice-broccoli-cheese-and-rice-casserole-154641,43.6398,890.58,34.2434,69.7074,0,0,1,0,Chinese and Mongolian
Power-Packed Bean Bread,http://www.geniuskitchen.com/recipe/power-packed-bean-bread-310274,109.5494,759.734,23.4927,31.5137,0,0,0,1,Scandinavian
Kris' Amazing Shredded Mexican Beef,http://allrecipes.com/recipe/217843/kris-amazing-shredded-mexican-beef/,50.8421,787.9113,108.0237,21.3793,0,0,0,1,US
Brown Rice Porridge,http://www.geniuskitchen.com/recipe/brown-rice-porridge-183366,141.0625,678.95,13.949,5.92,0,0,0,1,Australian
